id,Article Link,Article Title
2,https://www.dailymail.co.uk/tvshowbiz/article-10470753/Rudy-Giuliani-SHOCKINGLY-unmasked-Foxs-Masked-Singer-prompting-judge-walkout.html,Rudy Giuliani is revealed as star of The Masked Singer - prompting judges Robin Thicke and Ken Jeong to walk off set in protest 
4,https://www.dailymail.co.uk/news/article-10470707/Covid-symptoms-appear-just-two-days-exposed-virus-study-shows.html,"Covid symptoms appear just two days after being exposed to the virus, study shows - much earlier than previously thought "
7,https://www.dailymail.co.uk/news/article-10470639/Amy-Klobuchar-spent-campaign-funds-LA-LIMO-service-5-000-Beverly-Hills-Hilton.html,"A REAL limousine liberal: Democrat Amy Klobuchar spent campaign funds on a LA LIMO service and more than $5,000 for a ritzy bash at the Beverly Hills Hilton, FEC records reveal"
8,https://www.dailymail.co.uk/news/article-10470855/Test-scores-dont-define-students-Baltimore-schools-fire-Tucker-Carlson.html,Tucker Carlson lashes Baltimore schools for defending poor student test scores and the mayor for calling him RACIST after host said democracy is failing in the crime-riddled Democrat run city
9,https://www.dailymail.co.uk/news/article-10471011/U-S-Intelligence-officials-say-device-weapon-kind-Havana-Syndrome.html,"Only plausible explanation for mysterious Havana Syndrome that has afflicted dozens of US diplomats around the world is a WEAPON, CIA report finds"
12,https://www.dailymail.co.uk/news/article-10468751/CBC-spreading-conspiracy-theory-Russian-actors-trucker-vaccine-mandate-protests.html,"Canada's state broadcaster spreads bizarre conspiracy theory that 'Russian actors' are behind 50,000-strong 'Freedom Convoy' of truckers protesting Justin Trudeau's vaccine mandate"
14,https://www.dailymail.co.uk/news/article-10471265/Johns-Hopkins-professor-blasts-college-media-downplaying-study-COVID-lockdowns.html,Johns Hopkins professor blasts his OWN college and the mainstream media for not publicizing study that found COVID lockdowns only reduced deaths by 0.2% because it doesn't fit their 'narrative'
15,https://www.dailymail.co.uk/news/article-10470293/GOP-Senator-leads-Republican-fury-study-showed-lockdowns-reduced-mortality-0-2.html,'We must stop living in fear and move forward': GOP Senator leads Republican fury at Fauci's 'lies' and constant COVID lockdowns after major study showed they only reduced mortality by 0.2% and wreaked economic havoc
16,https://www.dailymail.co.uk/news/article-10469593/Army-immediately-start-discharging-vaccine-refusers.html,"US Army will start discharging vaccine refuseniks immediately: 3,300 soldiers - about 3% - now face the ax"
17,https://www.dailymail.co.uk/news/article-10471237/US-archeologists-criticize-Australian-researchers-said-theyve-wreck-Endeavour.html,US archeologists criticize Australian researchers for claiming they've found British explorer Captain Cook's ship off Rhode Island - but say site is 'consistent with what might be expected of the Endeavour' 
25,https://www.dailymail.co.uk/news/article-10469395/AOC-insists-no-mystery-Congress-wont-ban-members-trading-stock.html,AOC insists it's no 'mystery' Congress won't ban members from trading stock and 'wouldn't be surprised' if the MAJORITY buy and sell shares after Nancy Pelosi ruled out a ban
26,https://www.dailymail.co.uk/news/article-10470425/Indiana-attorney-general-says-BLMs-house-cards-starting-fall-amid-financial-questions.html,'BLM's house of cards is starting to fall': Indiana AG says 'scam' organization that has $60m is causing him 'concern' but declines to say if he's launched an investigation after California DoJ went after the leaders
